Institution_Name,SC_Ranking,SC Score,Curriculum,Public Engagement,Air & Climate,Campus Engagement,Research,Waste,Food & Dining,Water,Transportation,Buildings,Divestment Score,Diversity and Affordability,Energy,Wellbeing & Work,Grounds,Coordination and Planning,Investment & Finance,Purchasing,Innovation Score
Southern Illinois University Edwardsville,233,43.27,12.03,3.67,0,6.84,4.64,0.51,0.77,1.39,0.46,1.42,0,2.87,0,1.83,1.15,2.05,0.22,0.4,3
University of Montana,234,43.24,6.73,6.22,3.54,6.39,2.01,1.95,0,0.34,2.92,1.2,0,3.11,4.98,1.12,1.16,0.63,0,0.42,0.5
Soka University of America,235,43.14,11.92,4.97,4.72,2.16,5.94,1.79,1.25,1.43,1.62,0,0,2.03,2.98,1.4,0,0.47,0,0.45,0
South Seattle College,236,43.09,6.78,4.44,5.62,3.57,0,3.03,0.94,1.5,3.24,1.44,0,2.48,3.12,1.17,0.66,1.53,0,1.1,2.5
University of Wisconsin-Whitewater,237,43.04,4.95,5.04,4.47,6.09,3.09,2.38,0.96,1.36,2.69,1.84,0,3.43,1.57,1.48,0.93,1.51,0.48,0.8,0
University of Texas at Arlington,238,42.78,11.54,6.26,0,6.49,3.61,1.35,0,1.38,1.27,1.81,0,2.45,2.01,0.36,0,1.02,0,0.23,3
University of Wisconsin-Green Bay,239,42.74,9.09,2.18,0.41,4.96,5.59,0.91,1.29,3.96,1.27,0.68,0,2.74,4.01,0.83,1.7,1.2,0,0.91,1
State University of New York at Oneonta,240,42.56,8.93,2.79,1.58,5.95,4.92,1.79,1.13,1.2,1.3,1.43,0,3.21,2.29,0.76,1.13,1.57,0,1.06,1.5
Gonzaga University,241,42.09,6.32,4.73,4.03,5.31,2.69,3.32,0.77,2.05,1.81,0.06,0,3.67,3.61,1.26,0,2.03,0.07,0.35,0
Weber State University,242,42,8.14,3.53,5.47,5.18,3.28,1.86,0.54,1.43,1.57,0.77,1,2.63,3.89,0.82,0.57,1.27,0,0.05,0
Lawrence University,243,41.58,6.62,4.71,1.2,5.11,3.11,2.04,1.36,1.76,2.59,1.52,0,2.86,4.52,2.01,0.37,0.89,0,0.92,0
Eastern Kentucky University,244,41.06,3.47,2.66,4.57,7.22,0,3.39,0.99,4.76,2.44,1.14,1,2.45,2.66,1.17,1.13,1.01,0,0.99,0
Transylvania University,245,41.05,5.01,4.71,4.5,8.85,1.6,0.52,0.59,2.83,2.93,0.71,0,2.41,4.69,0.61,0,0.98,0,0.12,0
Seattle Central College,246,40.86,7.67,3.11,4.39,3.83,0,0.93,0.78,2.93,3.94,1.44,0,3.17,2.73,1.17,0,1.6,0,1.18,2
Harvey Mudd College,247,40.55,8.32,5.37,0,5.36,5.09,2.92,0.81,1.55,3.46,1.06,0,1.95,1.55,0.37,0,0.52,0.45,0.27,1.5
